Ms ID,Gender,Geno,D.O.B,Ear,Mom,Dad,Cage,User,Date
A0183,M,+/+,11/9/2021,NH,A0151,A0148,A01,17-05 CL,A0189
A0185,M,+/+,11/9/2021,LR,A0151,A0148,A01,17-05 CL,A0190
A0189,M,-/-,12/3/2021,L,A0151,A0148,A01,17-05 CL,A0183
A0190,M,-/-,12/3/2021,R,A0151,A0148,A01,17-05 CL,A0185
A0188,M,+/-,12/3/2021,NH,A0151,A0148,A03,kill,
A0203,M,+/-,1/6/2022,R,A0156,A0147,A03,breeding,
A0204,M,+/-,1/6/2022,LR,A0156,A0147,A03,breeding,
A0205,M,+/-,1/6/2022,LL,A0156,A0147,A03,breeding,
A0211,M,+/-,1/17/2022,L,A0151,A0148,A03,breeding,
A0186,F,+/-,11/9/2021,NH,A0151,A0148,A04,kill,
A0187,F,+/+,11/9/2021,L,A0151,A0148,A04,kill,
A0191,F,+/+,12/3/2021,NH,A0151,A0148,A04,Yunting,A0193
A0193,F,-/-,12/3/2021,R,A0151,A0148,A04,Yunting,A0191
A0206,F,+/-,1/6/2022,NH,A0156,A0147,A05,breeding?,
A0207,F,+/-,1/6/2022,L,A0156,A0147,A05,breeding?,
A0208,F,+/+,1/6/2022,R,A0156,A0147,A05,kill,
A0209,F,+/-,1/6/2022,LR,A0156,A0147,A05,breeding?,
A0194,M,-/-,12/6/2021,NH,A0156,A0147,A06,17-05 CL,A0210
A0195,M,-/-,12/6/2021,L,A0156,A0147,A06,17-05 CL,A0196
A0196,M,+/+,12/6/2021,R,A0156,A0147,A06,17-05 CL,A0195
A0210,M,+/+,1/17/2022,LR,A0151,A0148,A06,17-05 CL,A0194
A0197,F,-/-,12/6/2021,NH,A0156,A0147,A07,Yunting,A0199
A0198,F,-/-,12/6/2021,L,A0156,A0147,A07,Yunting,A0200
A0199,F,+/+,12/6/2021,R,A0156,A0147,A07,Yunting,A0197
A0200,F,+/+,12/6/2021,LR,A0156,A0147,A07,Yunting,A0198
1982,M,-/-,2/1/2021,LR,1936,1916,A11,17-05 CL,1994
1983,M,-/-,2/14/2021,NH,1903,1908,A11,17-05 CL,1985
1985,M,+/+,2/14/2021,R,1903,1908,A11,17-05 CL,1983
1994,M,+/+,2/24/2021,LR,1936,1916,A11,17-05 CL,1982
A0075,M,+/-:Tie2 fl/fl,6/21/2021,LL,F478,A0023,EA01,1704-6 PL+HFD,
A0085,M,+/-:Tie2 fl/fl,6/26/2021,LR,F462,1831,EA01,1704-6 PL+HFD,
A0110,M,+/-:Tie2 fl/fl,7/9/2021,NH,F478,A0023,EA01,1704-6 PL+HFD,
A0120,M,Tie2-fl/fl,7/9/2021,R,1883,1706,EA01,1704-6 PL+HFD,
FA031,M,+/-: fl/fl,7/12/2021,L,FA002,F471,EA01,breeding,
A0127,M,+/-:Tie2 fl/fl,7/25/2021,L,F462,1831,EA02,1704-6 PL+HFD,
A0128,M,Tie2-fl/fl,7/25/2021,R,F462,1831,EA02,1704-6 PL+HFD,
FA048,M,+/-: fl/fl,8/5/2021,LR,FA002,F471,EA02,breeding,
1807,M,+/-:Tie2 fl/fl,8/17/2020,L,1257,7224,EA03,1704-6 PL+HFD,
1810,M,+/-:Tie2 fl/fl,8/17/2020,LL,1257,7224,EA03,1704-6 PL+HFD,
1816,M,Tie2-fl/fl,8/17/2020,LR,1323,1368,EA03,1704-6 PL+HFD,
1850,M,+/-:Tie2 fl/fl,8/24/2020,RR,1287,7243,EA11,1704-6 PL+HFD,
1860,M,fl/fl,8/25/2020,LL,1370,1461,EA11,1704-6 PL+HFD,
1526,M,+/-:Tie2 fl/fl,4/25/2020,L,1323,1368,EA12,1704-6 PL+PD,
1587,M,fl/fl,5/19/2020,NH,1416,1429,EA12,1704-6 ctrl,
1859,M,+/-:Tie2 fl/fl,8/25/2020,LR,1370,1461,EA15+++,1704-6 ctrl,
1567,M,+/-:Tie2 fl/fl,5/2/2020,LR,1254,F177,EA22,1704-6 PL+PD,
1666,M,fl/fl,6/15/2020,LL,1287,7243,EA22,1704-6 ctrl,
1766,M,fl/fl,7/26/2020,L,1323,1368,EA35,1704-6 PL+HFD,
1767,M,+/-:Tie2 fl/fl,7/26/2020,R,1323,1368,EA35,1704-6 PL+HFD,
FA030,F,+/-: fl/fl,6/25/2021,LL,FA007,F443,EB21,10/14 out of RAB5,kill
A0143,F,+/-:Tie2 fl/fl,8/5/2021,NH,1883,1706,FA04,kill,EAB2
FA052,F,+/-: fl/fl,8/5/2021,R,FA002,F471,FA04,breeding,FAB1
FA053,F,+/-: fl/fl,8/5/2021,LR,FA002,F471,FA04,breeding,FAB1
FA079,F,+/-: fl/fl,9/3/2021,L,F553,FA025,FA04,breeding,FAB3
FA080,F,+/-: fl/fl,9/10/2021,NH,F552,FA015,FA05,,FAB4
FA081,F,+/-: fl/fl,9/10/2021,L,F552,FA015,FA05,,FAB4
FA082,F,+/-: fl/fl,9/10/2021,R,F552,FA015,FA05,,FAB4
FA088,F,,10/6/2021,LR,F554,FA018,FA05,Genotype,FAB5
FA089,F,,10/6/2021,LL,F554,FA018,FA05,Genotype,FAB5
A0176,M,+/+,9/9/2021,NH,A0021,A0007,J18,17-05 CL,A0179
A0179,M,-/-,9/9/2021,LR,A0021,A0007,J18,17-05 CL,A0176
A0212,M,+/-,2/1/2022,,A0156,A0147,A02,,
A0213,M,+/-,2/1/2022,,A0156,A0147,A02,,
A0214,M,+/-,2/1/2022,,A0156,A0147,A02,,
A0215,M,-/-,2/1/2022,,A0156,A0147,A02,,
A0216,F,-/-,2/1/2022,,A0156,A0147,A08,,
A0217,F,+/-,2/1/2022,,A0156,A0147,A08,,
A0218,F,+/+,2/1/2022,,A0156,A0147,A08,,
A0219,F,+/-,2/1/2022,,A0156,A0147,A08,,
A0220,M,+/-,2/9/2022,,A0151,A0148,,,
A0221,M,-/-,2/9/2022,,A0151,A0148,,,
A0222,M,+/-,2/9/2022,,A0151,A0148,,,
A0223,F,-/-,2/9/2022,,A0151,A0148,,,
A0224,F,+/-,2/9/2022,,A0151,A0148,,,
A0225,F,+/+,2/9/2022,,A0151,A0148,,,
